Crop,Area,Rainfall,Temperature,Humidity,Soil_Type,Fertilizer,Pesticide,Year,Yield
Wheat,1.48,821.3,21.6,76.8,Red,62.6,26.5,2015,3.09
Rice,11.66,1416.6,29.2,61.0,Black,193.2,48.9,2015,4.57
Maize,14.26,909.3,20.5,87.9,Sandy,66.6,24.0,2020,3.3
Rice,14.86,1173.9,33.6,58.9,Red,116.2,38.5,2020,3.59
Cotton,14.39,511.9,21.6,54.5,Loamy,262.4,52.3,2021,2.52
Sugarcane,4.09,929.6,28.7,75.1,Loamy,198.4,11.9,2018,9.47
Maize,9.78,814.4,32.8,74.4,Clay,218.0,50.9,2015,4.3
Sugarcane,8.62,539.4,32.6,68.4,Sandy,95.3,31.0,2025,6.27
Chickpea,3.71,638.5,29.9,66.9,Red,151.4,35.8,2020,2.1
Chickpea,2.73,513.6,19.8,71.4,Black,195.1,24.3,2024,2.81
Chickpea,11.05,1761.0,31.8,40.6,Loamy,217.2,33.1,2019,2.23
Soybean,9.26,1062.5,33.3,83.8,Sandy,292.7,46.2,2023,1.88
Wheat,17.54,852.9,28.2,70.4,Clay,137.2,11.4,2023,3.71
Chickpea,1.37,1704.3,32.1,81.6,Sandy,102.3,16.0,2024,1.48
Wheat,2.63,1106.1,19.1,78.0,Clay,73.4,29.6,2023,3.25
Groundnut,19.32,1704.0,30.1,74.5,Sandy,143.7,41.0,2020,2.15
Chickpea,18.09,1059.5,22.0,43.2,Loamy,193.0,15.3,2018,2.67
Rice,5.35,1672.3,31.8,43.5,Clay,112.4,30.2,2023,3.71
Maize,14.74,1641.2,27.2,52.1,Black,249.9,13.0,2016,4.4
Groundnut,9.87,1434.3,28.8,89.2,Loamy,55.8,44.2,2016,2.03
Cotton,4.64,1174.0,20.2,49.2,Black,104.9,55.5,2022,2.26
Wheat,1.96,1799.0,31.4,88.4,Clay,83.2,30.2,2018,2.58
Groundnut,18.15,672.3,18.0,59.5,Black,114.2,42.4,2023,2.17
Cotton,6.64,1757.8,27.3,67.1,Sandy,54.9,35.9,2023,1.42
Maize,2.08,1135.6,31.6,43.4,Loamy,215.6,15.6,2016,4.81
Rice,12.77,1016.0,27.3,66.1,Sandy,93.1,43.5,2018,3.48
Soybean,8.52,1356.8,22.8,55.8,Loamy,42.4,38.0,2024,1.86
Cotton,10.61,628.8,23.6,43.4,Clay,136.1,11.1,2023,2.13
Soybean,12.62,1782.8,28.5,40.4,Red,117.8,40.5,2017,1.68
Maize,6.17,1266.5,29.5,50.2,Sandy,171.4,16.6,2015,3.98
Wheat,13.05,1569.6,18.7,56.7,Clay,205.6,17.2,2022,3.32
Rice,3.13,1725.8,29.1,47.5,Loamy,257.0,35.8,2017,4.68
Groundnut,3.42,866.1,32.4,79.8,Loamy,273.7,14.2,2018,2.84
Groundnut,19.5,1461.8,32.8,51.8,Clay,293.8,49.0,2021,2.49
Rice,4.41,1698.1,30.5,60.6,Clay,109.4,47.7,2016,3.66
Chickpea,5.23,1552.4,25.4,55.3,Clay,98.0,40.3,2021,1.93
Sugarcane,6.29,543.7,30.4,57.6,Red,143.9,58.9,2023,7.32
Soybean,4.39,1749.4,22.2,45.4,Black,129.9,47.6,2021,1.91
Wheat,8.32,1228.4,22.1,75.4,Loamy,175.2,48.8,2025,3.76
Cotton,7.92,544.5,28.6,56.5,Sandy,212.5,9.2,2019,1.75
Soybean,13.67,890.3,29.2,67.7,Clay,149.3,56.5,2025,2.03
Soybean,8.72,1575.5,22.9,50.5,Red,197.7,20.7,2022,1.84
Chickpea,13.84,1140.1,30.7,88.0,Clay,211.3,18.5,2025,2.17
Cotton,13.78,753.3,21.2,41.2,Clay,295.8,37.5,2016,2.4
Chickpea,8.87,1300.2,21.1,74.8,Black,143.9,10.6,2015,2.4
Wheat,15.79,745.4,30.9,74.8,Black,53.1,16.5,2016,2.91
Chickpea,3.53,1077.3,26.5,67.9,Sandy,287.0,53.7,2024,2.37
Groundnut,16.78,1189.6,32.4,77.2,Black,157.0,45.6,2025,2.14
Soybean,15.55,1153.8,28.0,53.7,Loamy,225.5,15.6,2020,2.27
Maize,3.87,967.1,20.4,50.7,Black,146.0,33.5,2021,4.39
Rice,4.93,1017.2,32.5,69.2,Loamy,262.8,46.4,2021,4.73
Soybean,15.32,1602.2,33.3,61.0,Red,248.0,54.1,2022,2.07
Cotton,6.19,1105.6,24.2,73.4,Black,228.3,50.7,2017,2.8
Groundnut,12.25,1345.0,19.3,61.4,Black,87.2,17.1,2020,2.18
Cotton,9.64,905.6,32.1,53.9,Black,105.6,6.8,2015,2.16
Sugarcane,5.26,542.6,33.3,42.0,Loamy,286.9,13.6,2015,9.22
Maize,5.53,1089.3,19.8,87.4,Black,221.9,46.5,2017,4.19
Wheat,15.78,671.1,23.0,68.9,Sandy,189.7,54.7,2021,2.92
Groundnut,18.89,717.7,27.5,81.5,Clay,66.5,46.8,2025,2.07
Rice,7.6,1028.3,23.9,65.3,Sandy,43.3,26.4,2022,3.24
Wheat,9.24,939.0,32.3,63.0,Clay,153.2,44.6,2025,3.49
Chickpea,9.83,1564.7,27.5,56.1,Clay,256.0,7.0,2022,2.63
Cotton,15.26,1219.3,28.7,56.8,Black,261.2,12.5,2018,2.54
Soybean,17.73,1396.6,22.4,40.5,Clay,62.3,43.8,2022,1.84
Cotton,14.12,1322.0,25.9,79.6,Loamy,116.5,25.5,2018,2.15
Chickpea,11.52,914.1,33.9,67.5,Sandy,222.7,17.7,2019,2.24
Cotton,3.29,710.0,19.9,66.8,Clay,89.8,44.8,2019,1.9
Soybean,19.63,1574.0,22.7,58.0,Sandy,43.7,33.0,2019,0.96
Rice,19.51,1197.0,29.2,46.3,Black,66.7,2.7,2019,3.71
Maize,19.34,790.8,31.8,45.7,Loamy,144.2,6.3,2025,4.19
Rice,3.88,1545.0,33.2,44.3,Clay,70.8,46.3,2024,3.32
Groundnut,9.56,1047.7,31.8,89.5,Sandy,187.8,5.5,2016,2.1
Cotton,12.88,807.3,19.3,52.0,Red,59.5,2.2,2022,1.76
Rice,5.4,1404.4,29.2,62.7,Clay,280.2,47.7,2025,4.56
Cotton,9.08,1185.2,28.4,85.4,Clay,58.6,11.6,2019,1.68
Soybean,9.34,1082.7,22.9,60.1,Sandy,170.1,30.6,2016,1.66
Rice,17.9,1441.6,27.7,41.3,Clay,290.1,50.5,2024,4.73
Soybean,11.95,1480.2,20.8,65.9,Black,278.2,12.5,2024,2.28
Groundnut,13.06,1113.8,19.5,57.4,Sandy,123.5,8.1,2017,1.9
Soybean,13.59,990.6,30.2,41.8,Loamy,121.8,20.7,2021,2.33
Rice,13.5,1182.5,24.6,49.4,Sandy,201.9,30.9,2022,4.03
Maize,18.63,1041.5,29.2,46.1,Red,247.8,43.2,2019,4.32
Rice,11.49,575.8,33.9,85.6,Black,286.2,39.6,2017,4.5
Soybean,8.89,1101.4,25.6,62.8,Clay,139.7,55.5,2023,2.04
Maize,17.42,822.9,30.6,60.7,Red,109.5,2.1,2019,3.76
Chickpea,17.44,1052.8,25.7,56.6,Red,138.1,56.1,2018,1.86
Cotton,11.86,765.3,30.4,42.2,Black,223.4,49.1,2021,2.8
Maize,10.41,500.0,26.0,69.5,Loamy,267.3,27.5,2023,4.77
Chickpea,1.29,644.6,31.9,88.5,Loamy,162.1,58.2,2020,2.06
Wheat,17.18,1600.7,31.7,59.0,Sandy,203.0,53.5,2022,2.97
Rice,12.73,766.9,29.0,54.4,Clay,234.2,27.2,2016,4.68
Wheat,9.43,1386.9,32.5,42.3,Loamy,116.3,23.7,2017,3.12
Cotton,11.09,1214.0,30.7,48.5,Loamy,198.5,24.2,2025,2.48
Maize,5.41,1311.2,25.4,73.3,Black,274.3,41.3,2017,5.22
Wheat,9.39,916.5,27.4,71.9,Black,219.5,28.5,2019,4.14
Chickpea,3.03,964.8,23.7,54.8,Sandy,45.7,50.1,2021,1.82
Soybean,1.15,1617.8,30.5,88.7,Red,233.7,50.3,2019,2.03
Sugarcane,5.16,706.7,22.0,77.8,Clay,203.3,54.4,2025,8.32
Rice,6.87,1045.1,27.3,76.6,Loamy,276.5,20.9,2021,5.36
Sugarcane,11.09,1683.2,31.3,52.8,Black,291.5,19.1,2020,9.01
Wheat,9.9,551.7,30.1,51.3,Black,291.5,48.7,2020,4.22
