Area,Rainfall,Temperature,Humidity,Fertilizer,Pesticide,Year,Yield,Crop_Cotton,Crop_Groundnut,Crop_Maize,Crop_Rice,Crop_Soybean,Crop_Sugarcane,Crop_Wheat,Soil_Type_Clay,Soil_Type_Loamy,Soil_Type_Red,Soil_Type_Sandy
1.48,821.3,21.6,76.8,62.6,26.5,2015,3.09,False,False,False,False,False,False,True,False,False,True,False
11.66,1416.6,29.2,61.0,193.2,48.9,2015,4.57,False,False,False,True,False,False,False,False,False,False,False
14.26,909.3,20.5,87.9,66.6,24.0,2020,3.3,False,False,True,False,False,False,False,False,False,False,True
14.86,1173.9,33.6,58.9,116.2,38.5,2020,3.59,False,False,False,True,False,False,False,False,False,True,False
14.39,511.9,21.6,54.5,262.4,52.3,2021,2.52,True,False,False,False,False,False,False,False,True,False,False
4.09,929.6,28.7,75.1,198.4,11.9,2018,9.47,False,False,False,False,False,True,False,False,True,False,False
9.78,814.4,32.8,74.4,218.0,50.9,2015,4.3,False,False,True,False,False,False,False,True,False,False,False
8.62,539.4,32.6,68.4,95.3,31.0,2025,6.27,False,False,False,False,False,True,False,False,False,False,True
3.71,638.5,29.9,66.9,151.4,35.8,2020,2.1,False,False,False,False,False,False,False,False,False,True,False
2.73,513.6,19.8,71.4,195.1,24.3,2024,2.81,False,False,False,False,False,False,False,False,False,False,False
11.05,1761.0,31.8,40.6,217.2,33.1,2019,2.23,False,False,False,False,False,False,False,False,True,False,False
9.26,1062.5,33.3,83.8,292.7,46.2,2023,1.88,False,False,False,False,True,False,False,False,False,False,True
17.54,852.9,28.2,70.4,137.2,11.4,2023,3.71,False,False,False,False,False,False,True,True,False,False,False
1.37,1704.3,32.1,81.6,102.3,16.0,2024,1.48,False,False,False,False,False,False,False,False,False,False,True
2.63,1106.1,19.1,78.0,73.4,29.6,2023,3.25,False,False,False,False,False,False,True,True,False,False,False
19.32,1704.0,30.1,74.5,143.7,41.0,2020,2.15,False,True,False,False,False,False,False,False,False,False,True
18.09,1059.5,22.0,43.2,193.0,15.3,2018,2.67,False,False,False,False,False,False,False,False,True,False,False
5.35,1672.3,31.8,43.5,112.4,30.2,2023,3.71,False,False,False,True,False,False,False,True,False,False,False
14.74,1641.2,27.2,52.1,249.9,13.0,2016,4.4,False,False,True,False,False,False,False,False,False,False,False
9.87,1434.3,28.8,89.2,55.8,44.2,2016,2.03,False,True,False,False,False,False,False,False,True,False,False
4.64,1174.0,20.2,49.2,104.9,55.5,2022,2.26,True,False,False,False,False,False,False,False,False,False,False
1.96,1799.0,31.4,88.4,83.2,30.2,2018,2.58,False,False,False,False,False,False,True,True,False,False,False
18.15,672.3,18.0,59.5,114.2,42.4,2023,2.17,False,True,False,False,False,False,False,False,False,False,False
6.64,1757.8,27.3,67.1,54.9,35.9,2023,1.42,True,False,False,False,False,False,False,False,False,False,True
2.08,1135.6,31.6,43.4,215.6,15.6,2016,4.81,False,False,True,False,False,False,False,False,True,False,False
12.77,1016.0,27.3,66.1,93.1,43.5,2018,3.48,False,False,False,True,False,False,False,False,False,False,True
8.52,1356.8,22.8,55.8,42.4,38.0,2024,1.86,False,False,False,False,True,False,False,False,True,False,False
